numero_dpe;conso_5_usages_ep;conso_5_usages_par_m2_ep;conso_chauffage_ep;conso_ecs_ep;conso_refroidissement_ep;conso_eclairage_ep;conso_auxiliaires_ep;conso_5 usages_ef;conso_5 usages_par_m2_ef;conso_chauffage_ef;conso_ecs_ef;conso_refroidissement_ef;conso_eclairage_ef;conso_auxiliaires_ef;conso_5 usages_ef_energie_n1;conso_chauffage_ef_energie_n1;conso_ecs_ef_energie_n1;conso_5 usages_ef_energie_n2;conso_chauffage_ef_energie_n2;Conso_ecs_ef_energie_n2;conso_5_usages_ef_energie_n3;conso_chauffage_ef_energie_n3;conso_ecs_ef_energie_n3;conso_chauffage_installation_chauffage_n1;conso_chauffage_generateur_n1_installation_n1;conso_chauffage_generateur_n2_installation_n1;conso_chauffage_installation_chauffage_n2;conso_chauffage_generateur_n1_installation_n2;conso_chauffage_generateur_n2_installation_n2;conso_ef_installation_ecs_n1;conso_ef_generateur_n1_ecs_n1;conso_ef_generateur_n2_ecs_n1;conso_refroidissement_annuel
2238N0580734U;3580,70;86,50;2096,40;1729,40;0,00;57,00;3,60;3435,00;83,00;2096,40;1226,50;0,00;24,80;1,50;3323,00;2096,40;1226,50;26,30;0,00;0,00;;;;;;;;;;;;;
2438N0543422U;4688,20;52,80;2870,40;1212,10;0,00;421,40;26,30;2038,40;23,00;1248,00;527,00;0,00;183,20;11,50;2038,40;1248,00;527,00;;;;;;;;;;;;;;;;
2138N0609216F;4566,30;72,70;2447,50;2362,70;0,00;97,90;6,10;4315,80;68,70;2447,50;1675,60;0,00;42,60;2,70;4123,10;2447,50;1675,60;45,20;0,00;0,00;;;;;;;;;;;;;
2338N4082344D;4042,20;55,80;1187,50;2078,20;0,00;99,40;47,70;1757,50;24,30;516,30;903,60;0,00;43,20;20,70;1483,80;516,30;903,60;;;;;;;;;;;;;;;;
2138N0753248X;4327,90;93,20;1811,80;3072,90;0,00;66,40;7,80;4118,80;88,80;1802,00;2170,40;0,00;28,90;3,40;3957,90;1794,40;2163,50;46,70;7,50;6,90;;;;;;;;;;;;;
2338N2560444N;2908,40;65,20;1281,50;1318,10;0,00;65,10;8,10;2733,90;61,30;1281,50;1318,10;0,00;28,30;3,50;2599,60;1281,50;1318,10;31,90;0,00;0,00;;;;;;;;;;;;;
2338N4105246Z;2257,90;52,90;653,80;1246,40;0,00;63,00;22,20;2027,00;47,50;625,10;1246,40;0,00;27,40;9,70;1849,40;602,90;1246,40;59,20;22,10;0,00;;;;;;;;;;;;;
2338N1982115C;4427,60;52,60;2106,30;1842,40;0,00;111,10;0,00;4156,90;49,50;2106,30;1842,40;0,00;48,30;0,00;3948,70;2106,30;1842,40;48,30;0,00;0,00;;;;;;;;;;;;;
2438N1482710G;3502,20;58,70;1029,40;1987,60;0,00;83,40;31,30;3228,00;54,20;1029,40;1987,60;0,00;36,30;13,60;3017,00;1029,40;1987,60;49,90;0,00;0,00;;;;;;;;;;;;;
2238N2852636Q;3307,80;50,50;1286,40;2257,90;0,00;98,60;0,00;3070,40;46,90;1286,40;1601,30;0,00;42,90;0,00;2887,80;1286,40;1601,30;42,90;0,00;0,00;;;;;;;;;;;;;
2438N2352394Q;5657,00;43,70;3067,00;1667,00;149,00;506,00;268,00;2460,00;19,00;1333,00;725,00;65,00;220,00;117,00;2460,00;1333,00;725,00;;;;;;;;;;;;;;;;
2238N2596635L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2238N0408349P;4936,30;58,20;2280,80;2884,10;0,00;115,70;0,00;4421,40;52,20;2136,90;2019,30;0,00;50,30;0,00;4025,40;2026,20;1999,20;181,10;110,70;20,10;;;;;;;;;;;;;
2438N2152642W;3350,00;70,00;1019,60;1940,80;0,00;67,00;29,30;3129,80;65,50;1019,60;1940,80;0,00;29,10;12,70;2960,40;1019,60;1940,80;41,90;0,00;0,00;;;;;;;;;;;;;
2338N2306975S;6102,80;54,20;3946,80;1336,30;0,00;546,50;91,10;2653,40;23,60;1716,00;581,00;0,00;237,60;39,60;2653,40;1716,00;581,00;;;;;;;;;;;;;;;;
2238N0760153N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2138N0773721I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2238N2852653H;2631,20;62,60;1021,20;1889,70;0,00;63,40;0,00;2478,80;59,00;1021,20;1340,20;0,00;27,50;0,00;2361,50;1021,20;1340,20;27,50;0,00;0,00;;;;;;;;;;;;;
2238N1086583N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2338N1420003K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2338N4152828B;5176,80;54,30;2703,50;1867,60;0,00;143,70;0,00;4802,80;50,40;2671,80;1867,60;0,00;62,50;0,00;4515,10;2647,40;1867,60;86,90;24,40;0,00;;;;;;;;;;;;;
2238N2283783R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2238N1463324O;6477,00;59,00;2269,90;4339,00;0,00;144,60;86,70;5838,40;53,20;2269,90;3077,30;0,00;62,90;37,70;5347,20;2269,90;3077,30;100,60;0,00;0,00;;;;;;;;;;;;;
2238N0519725H;2326,60;51,20;1123,70;1137,00;0,00;58,60;19,50;1011,60;22,30;488,50;350,60;0,00;25,50;8,50;873,10;488,50;350,60;;;;;;;;;;;;;;;;
2238N3118729Z;2984,70;127,70;1794,40;1388,70;0,00;34,00;5,10;2859,60;122,40;1785,40;984,90;0,00;14,80;2,20;1740,20;1732,50;7,70;1023,20;45,90;977,30;24,00;6,90;0,00;;;;;;;;;;
2238N2954774A;8798,90;75,30;5345,20;3628,90;0,00;554,00;32,60;3825,60;32,80;2324,00;1119,00;0,00;240,90;14,20;3825,60;2324,00;1119,00;;;;;;;;;;;;;;;;
2138N0692265K;3534,10;86,50;1815,30;2033,10;0,00;54,60;9,60;3377,60;82,60;1815,30;1441,90;0,00;23,70;4,20;3257,30;1815,30;1441,90;27,90;0,00;0,00;;;;;;;;;;;;;
2438N2217801Z;3811,10;52,30;1727,30;1634,60;0,00;110,80;0,00;3557,20;48,80;1727,30;1634,60;0,00;48,20;0,00;3361,90;1727,30;1634,60;48,20;0,00;0,00;;;;;;;;;;;;;
2338N2415232L;3272,90;51,60;1297,70;1558,00;0,00;88,00;11,00;3037,10;47,90;1297,70;1558,00;0,00;38,30;4,80;2855,70;1297,70;1558,00;43,00;0,00;0,00;;;;;;;;;;;;;
2238N1912907F;4766,20;58,30;2545,10;2318,10;0,00;111,60;7,00;4440,00;54,30;2545,10;1644,00;0,00;48,50;3,00;4189,10;2545,10;1644,00;51,60;0,00;0,00;;;;;;;;;;;;;
2338N0099308L;5800,10;58,70;3847,90;1715,50;0,00;480,90;56,60;2521,80;25,50;1673,00;529,00;0,00;209,10;24,60;2521,80;1673,00;529,00;;;;;;;;;;;;;;;;
2238N1217307J;5120,10;121,40;1217,80;1415,10;856,60;887,50;743,00;3173,20;75,20;682,10;1409,70;372,40;385,90;323,10;1675,60;270,00;1405,50;1497,60;412,10;4,20;;;;;;;;;;;;;
2238N2628472Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2438N0057501N;5221,90;36,00;2175,80;1859,30;0,00;712,10;474,70;2270,40;15,00;946,00;808,40;0,00;309,60;206,40;2270,40;946,00;808,40;;;;;;;;;;;;;;;;
2238N2898749F;4901,50;74,00;2306,00;2120,50;0,00;336,40;138,50;4633,00;69,00;2306,00;2120,50;0,00;146,30;60,20;4633,00;2306,00;2120,50;4633,00;2306,00;2120,50;;;;;;;;;;;;;
2338N0924603O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2438N0429564Q;4543,00;48,30;2726,00;1136,00;0,00;429,00;252,00;1976,00;21,00;1185,00;494,00;0,00;187,00;110,00;1976,00;1185,00;494,00;;;;;;;;;;;;;;;;
2238N1394041V;3637,20;75,00;1451,20;1855,20;0,00;201,40;129,50;3450,20;71,00;1451,20;1855,20;0,00;87,60;56,30;3450,20;1451,20;1855,20;3450,20;1451,20;1855,20;;;;;;;;;;;;;
2438N1968956A;3158,60;77,00;1351,60;1493,30;0,00;185,90;127,80;2981,30;72,00;1351,60;1493,30;0,00;80,80;55,60;2981,30;1351,60;1493,30;2981,30;1351,60;1493,30;;;;;;;;;;;;;
2138N0306928T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2338N1680764R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2338N3068820L;5311,60;49,00;3541,10;1091,80;0,00;501,70;177,10;2309,40;21,00;1539,60;474,70;0,00;218,10;77,00;2309,40;1539,60;474,70;;;;;;;;;;;;;;;;
2238N1086571B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2238N0901124M;2683,90;92,00;1201,30;1750,60;0,00;40,30;13,40;2547,60;87,40;1201,30;1241,60;0,00;17,50;5,80;2442,80;1201,30;1241,60;23,40;0,00;0,00;;;;;;;;;;;;;
2338N4363675O;6597,60;73,00;4414,10;1532,10;0,00;390,80;260,50;6192,60;68,00;4389,60;1519,80;0,00;169,90;113,30;6192,60;4389,60;1519,80;6192,60;4389,60;1519,80;;;;;;;;;;;;;
2138N0858633E;5853,80;95,50;4180,80;1686,70;0,00;73,10;4,60;5584,30;91,20;4180,80;1196,30;0,00;31,80;2,00;5377,10;4180,80;1196,30;33,70;0,00;0,00;;;;;;;;;;;;;
2238N1932694G;4302,50;87,40;2524,20;2058,20;0,00;74,80;0,00;4092,10;83,20;2504,30;1449,30;0,00;32,50;0,00;3930,30;2489,00;1441,30;55,80;15,30;8,00;;;;;;;;;;;;;
2238N1463376O;3920,10;84,40;1262,50;3072,90;0,00;61,20;36,70;3649,80;78,60;1262,50;2179,30;0,00;26,60;16,00;3441,80;1262,50;2179,30;42,60;0,00;0,00;;;;;;;;;;;;;
2338N3202347C;5545,20;58,90;2480,60;2360,20;0,00;141,40;31,40;4957,00;52,70;2290,50;2360,20;0,00;61,50;13,70;4504,60;2144,30;2360,20;221,40;146,20;0,00;;;;;;;;;;;;;
2238N2614419L;9263,00;69,60;6545,00;1691,00;0,00;711,00;316,00;4026,00;30,30;2845,00;735,00;0,00;309,00;137,00;4026,00;2845,00;735,00;;;;;;;;;;;;;;;;
2338N1847393M;3060,50;62,30;1143,80;2232,40;0,00;70,30;13,20;2872,00;58,60;1143,80;1583,30;0,00;30,60;5,70;2727,10;1143,80;1583,30;36,30;0,00;0,00;;;;;;;;;;;;;
2469N0478514N;5110,80;72,50;3331,00;1425,60;0,00;287,10;67,20;2222,10;31,60;1448,20;619,80;0,00;124,80;29,20;2222,10;1448,20;619,80;;;;;;;;;;;;;;;;
2338N0799135W;5131,60;59,80;2400,60;2889,10;0,00;129,30;22,80;4746,10;55,40;2400,60;2049,00;0,00;56,20;9,90;4449,60;2400,60;2049,00;66,20;0,00;0,00;;;;;;;;;;;;;
2238N0547122A;3406,30;50,20;1450,60;2218,10;0,00;89,80;0,00;3190,10;47,00;1450,60;1573,10;0,00;39,10;0,00;3023,70;1450,60;1573,10;39,10;0,00;0,00;;;;;;;;;;;;;
2238N0198208G;3776,90;70,50;2079,60;1787,90;0,00;71,20;0,00;3534,20;66,10;2079,60;1268,00;0,00;30,90;0,00;3347,60;2079,60;1268,00;30,90;0,00;0,00;;;;;;;;;;;;;
2238N1526569B;3373,60;93,10;1069,70;2722,70;0,00;47,70;28,60;3162,80;87,40;1069,70;1931,00;0,00;20,70;12,40;3000,70;1069,70;1931,00;33,20;0,00;0,00;;;;;;;;;;;;;
2138N0635795M;6755,30;55,70;4673,60;1829,10;0,00;579,90;34,10;2937,10;24,30;2032,00;564,00;0,00;252,10;14,80;2937,10;2032,00;564,00;;;;;;;;;;;;;;;;
2438N1065519L;6350,90;57,10;4328,60;1200,60;0,00;505,60;63,20;2761,20;24,80;1882,00;522,00;0,00;219,80;27,50;2761,20;1882,00;522,00;;;;;;;;;;;;;;;;
2338N0728537O;4423,40;53,60;2293,70;2187,90;0,00;122,00;7,60;4096,70;49,70;2293,70;1551,70;0,00;53,00;3,30;3845,30;2293,70;1551,70;56,30;0,00;0,00;;;;;;;;;;;;;
2138N0783387C;5821,90;64,50;3522,60;1968,50;0,00;465,30;136,90;4259,70;47,20;3260,00;607,00;0,00;202,30;59,50;3058,00;3058,00;0,00;1201,70;202,00;607,00;;;;;;;;;;;;;
2238N2265088Q;3973,10;90,40;1030,20;3223,00;0,00;67,10;11,70;3058,30;69,60;486,80;2285,80;0,00;29,20;5,10;2354,60;68,80;2285,80;452,30;418,00;0,00;;;;;;;;;;;;;
2238N2404303B;7378,90;66,30;5188,80;2043,10;0,00;483,30;0,00;3208,20;28,90;2256,00;630,00;0,00;210,20;0,00;3208,20;2256,00;630,00;;;;;;;;;;;;;;;;
2338N2133838P;9221,50;78,30;6387,10;1995,40;0,00;172,40;30,40;8027,90;68,20;5667,70;1995,40;0,00;75,00;13,20;7109,70;5114,30;1995,40;641,60;553,40;0,00;;;;;;;;;;;;;
2138N0531943E;47800,30;66,50;24184,20;26862,90;0,00;3695,00;0,00;44605,50;62,10;23815,00;18806,00;0,00;1606,50;0,00;42148,00;23531,00;18617,00;2457,50;284,00;189,00;;;;;;;;;;;;;
2238N3118626A;5200,40;118,00;3229,20;2262,70;0,00;64,50;7,60;4978,90;113,10;3214,80;1604,70;0,00;28,10;3,30;3141,20;3124,10;17,10;1667,30;79,70;1587,70;42,40;11,00;0,00;;;;;;;;;;
2238N1217494O;5003,10;121,10;1166,50;1400,70;838,90;869,20;727,70;3107,80;75,20;653,40;1395,40;364,70;377,90;316,40;1649,90;258,70;1391,20;1457,90;394,70;4,10;;;;;;;;;;;;;
2238N1312749F;4638,90;71,30;2496,80;2373,20;0,00;98,40;0,00;4332,20;66,60;2472,20;1660,50;0,00;42,80;0,00;4096,30;2453,20;1643,10;79,10;19,00;17,40;;;;;;;;;;;;;
2238N1966037R;9104,00;65,00;4856,80;2126,20;0,00;694,80;1426,20;6663,30;47,00;4816,70;924,40;0,00;302,10;620,10;6663,30;4816,70;924,40;6663,30;4816,70;924,40;;;;;;;;;;;;;
2238N0327168G;5313,50;83,00;2474,40;2707,70;0,00;90,30;54,20;4773,10;74,50;2461,30;1912,30;0,00;39,30;23,60;4357,40;2451,30;1906,20;79,10;10,10;6,20;;;;;;;;;;;;;
2238N0402691Z;3411,40;89,70;1639,40;1645,80;143,90;55,70;0,00;2136,90;56,20;712,80;1161,20;62,60;24,20;0,00;1156,50;0,00;1156,50;804,20;712,80;4,60;;;;;;;;;;;;;
2238N0999957T;6553,90;38,00;4243,50;1320,20;0,00;754,40;235,80;2849,50;16,00;1845,00;574,00;0,00;328,00;102,50;2849,50;1845,00;574,00;;;;;;;;;;;;;;;;
2238N0467905F;26682,60;82,00;15916,40;8112,10;0,00;1572,80;1081,30;22737,70;70,00;15471,90;6111,80;0,00;683,80;470,10;22737,70;15471,90;6111,80;22737,70;15471,90;6111,80;22737,70;15471,90;6111,80;;;;;;;;;;
2238N0131432Y;4320,00;55,00;1999,40;2438,00;0,00;116,70;20,60;3985,60;50,70;1999,40;1729,00;0,00;50,70;9,00;3728,40;1999,40;1729,00;59,70;0,00;0,00;;;;;;;;;;;;;
2238N0757617Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
