numero_dpe;cout_total_5_usages_energie_n1;cout_chauffage_energie_n1;cout_ecs_energie_n1;cout_total_5_usages_energie_n2;cout_chauffage_energie_n2;cout_ecs_energie_n2;cout_total_5_usages energie_n3;cout_chauffage_energie_n3;cout_ecs_energie_n3;cout_total_5_usages;cout_chauffage;cout_ecs;cout_refroidissement;cout_eclairage;cout_auxiliaires
2138N1042944B;331.9;148.9;183.1;110.3;0;0;;;;371;148.9;183.1;0;98;12.3
2338N2577785M;163.7;80.7;83;102;0;0;;;;199.9;80.7;83;0;90.6;11.3
2238N1239458I;516.5;336.9;103.3;;;;;;;516.5;336.9;103.3;0;50.5;25.8
2438N1969090E;461;192.6;203.2;461;192.6;203.2;;;;461;192.6;203.2;0;38.6;26.6
2238N0412606I;423;235.6;112.4;;;;;;;423;235.6;112.4;0;42.8;32.1
2238N2265090S;148.1;4.3;143.8;197.5;66.6;0;;;;273;70.9;143.8;0;99.5;31.4
2238N2729993P;446.7;290.8;155.9;137.3;0;0;;;;496.5;290.8;155.9;0;137.3;0
2438N0144946U;2434.9;1373.7;761.9;2434.9;1373.7;761.9;;;;2434.9;1373.7;761.9;0;195.7;103.6
2238N0403334S;130.4;0;130.4;343.8;237.7;1.4;;;;448.1;237.7;131.8;18.7;86;0
2238N1217443P;176;28.6;147.4;304.9;97.2;1;;;;480.9;125.8;148.4;71.2;73.8;61.8
2238N2707868Q;551.8;342.4;209.4;169.6;0;0;;;;620.6;342.4;209.4;0;169.6;0
2238N3113559D;191.4;190.7;0.7;213.9;12.3;201.6;97.4;0;0;446.9;203;202.3;0;80.2;17.2
2238N2265111N;149.5;4.4;145.1;199.4;67.2;0;;;;275.6;71.6;145.1;0;100.5;31.7
2338N3727112J;706;531.3;85.9;;;;;;;706;531.3;85.9;0;61.1;27.7
2438N1258100K;;;;;;;;;;;;;;;
"Lotissement ''Le Clos des Moines'' - Lot 24""";;;;;;;;;;;;;;;
2338N4194637C;135.4;135.4;0;422.3;4.8;313.5;;;;480.6;140.2;313.5;0;104.1;0
2338N3869407G;744.3;344.1;400.3;169.5;15;0;;;;801.7;359.1;400.3;0;107.5;47
2338N0790835Q;206.7;0;206.7;285.4;195.6;0;;;;434.1;195.6;206.7;0;69.9;20
2438N1341828S;408.6;173.5;235.1;111.5;0;0;;;;450;173.5;235.1;0;104.6;7
2338N4155095G;413;221;132;;;;;;;413;221;132;0;40;2
2338N0513916X;;;;;;;;;;;;;;;
"2 Rue du Muret""";;;;;;;;;;;;;;;
2438N2152714Q;266;116.4;149.5;138.5;0;0;;;;313.1;116.4;149.5;0;96.3;42.1
2338N0679045A;;;;;;;;;;;;;;;
"Lieu Dit LE VILLAGE""";;;;;;;;;;;;;;;
2338N3646340T;435.8;221.8;214;178;6;5;;;;509.8;227.8;219;0;142;25.1
2238N1932733T;459.5;281.9;177.6;155.4;4.5;2.7;;;;519.7;286.4;180.2;0;148.2;0
2438N0350813T;366.9;165.2;201.7;227.8;0;0;;;;436.3;165.2;201.7;0;91.1;136.7
2338N3511922V;445.5;238.2;207.3;83;36.7;5.3;;;;528.5;274.9;212.7;0;27.3;13.6
2238N1463339D;318.5;122.5;196;210.3;0;0;;;;405;122.5;196;0;131.5;78.9
2438N2154438Y;348.1;152.9;195.2;262.3;0;0;;;;437.4;152.9;195.2;0;182.5;79.8
2138N0266134T;;;;;;;;;;;;;;;
250;;;;;;;;;;;;;;;
2238N1070603X;142.6;70.6;72;59;0;0;;;;166.6;70.6;72;0;44.3;14.8
2138N0532069A;689.2;432.6;256.6;201.8;10.8;6.7;;;;790.6;443.4;263.3;0;184.2;0
2338N0383094H;441;259;182;325;185;4;;;;766;444;186;34;64;4
2338N3303644D;;;;;;;;;;;;;;;
"Lotissement les Noisetiers""";;;;;;;;;;;;;;;
2238N0001588Y;420.5;166.7;214.6;420.5;166.7;214.6;;;;420.5;166.7;214.6;0;28.5;10.7
2338N4462436B;569;327;152;;;;;;;569;327;152;12;54;24
2238N2463830O;347.4;123.1;224.3;97;0;0;;;;381.5;123.1;224.3;0;91.9;5.1
2138N1042954L;267.8;98;169.8;94.9;0;0;;;;301.4;98;169.8;0;84.3;10.5
2338N0523283E;481;251;164;;;;;;;481;251;164;0;38;11
2238N2552507F;;;;;;;;;;;;;;;
"Rue de Nantes""";;;;;;;;;;;;;;;
2238N0372507B;558;347;143;;;;;;;558;347;143;0;39;12
2438N1044993Z;517.2;329.1;188.1;253.5;51.1;0;;;;639.4;380.2;188.1;0;181.1;21.3
2238N2597588C;618.7;319.7;299;280;0;0;;;;720.3;319.7;299;0;170;110
2338N4171414X;;;;;;;;;;;;;;;
"140 Route de Lyon""";;;;;;;1135026.4;;;;;;;;
2238N1070460K;141.7;70.2;71.6;58.7;0;0;;;;165.6;70.2;71.6;0;44;14.7
2338N0729530T;336;187.3;148.6;115.4;0;0;;;;380.6;187.3;148.6;0;109;6.4
2338N2339295U;603;286.8;316.2;197.1;0;0;;;;671;286.8;316.2;0;175.2;21.9
2238N0058645L;181;181;0;414;234;128;;;;595;415;128;0;39;0
2238N0476660Y;655.1;422.6;232.5;200.3;4.8;2.6;;;;733.7;427.4;235.1;0;157.9;35.1
2138N0041842D;585.3;351.9;148.9;;;;;;;585.3;351.9;148.9;0;57.5;27.1
2238N1980253L;748;540;136;;;;;;;748;540;136;0;47;3
2338N4363770F;773.2;510.3;166.2;773.2;510.3;166.2;;;;773.2;510.3;166.2;0;63.4;33.4
2338N0185357A;1044.5;606;251.3;1044.5;606;251.3;;;;1044.5;606;251.3;0;79.4;107.7
2338N1213736B;276;119.7;156.3;174.8;0;0;;;;336.1;119.7;156.3;0;157.3;17.5
2438N1557761V;;;;;;;;;;;;;;;
"LOT 1""";;;;;;;;;;;;;;;
2138N0783709M;759.4;427;245.9;759.4;427;245.9;;;;759.4;427;245.9;0;65.8;20.8
2138N0345826V;428.6;240.6;188;51.2;6.6;5.4;;;;484.1;247.2;193.4;0;39.1;0
2238N2417735R;726.7;389.2;243.5;726.7;389.2;243.5;;;;726.7;389.2;243.5;0;51.8;42.1
2338N0858379M;634;466;168;99;26;3;;;;733;492;171;0;48;3
2438N2152664S;219.5;66.8;152.7;144.3;0;0;;;;268.7;66.8;152.7;0;100.4;43.9
2138N0773426Z;373.9;178.1;195.8;223.6;0;0;;;;451.1;178.1;195.8;0;159.7;63.9
2338N1701199Q;496.6;315.5;133.6;;;;;;;496.6;315.5;133.6;0;31.7;15.8
2138N0729050F;629.7;444.5;185.1;283.2;0;0;;;;736.4;444.5;185.1;0;240.7;42.5
2238N2552494S;;;;;;;;;;;;;;;
"Rue de Nantes""";;;;;;;;;;;;;;;
2138N0729038T;1261;891;370;230;8;8;;;;1491;899;378;0;140;25
2138N0423712L;914;637;157;;;;;;;914;637;157;0;78;5
2238N1146613J;499.9;304.2;195.7;244.9;0;0;;;;586.4;304.2;195.7;0;181;63.9
2238N0978297R;64.6;0;64.6;163.5;58;0;;;;188.9;58;64.6;8.4;87.4;9.7
2238N0552283N;173;173;0;395;243;104;;;;568;416;104;0;34;0
2238N0965236I;384.1;125.6;124.1;;;;;;;379.3;125.6;124.1;0;125.5;9
2138N0646412V;424.7;232;192.7;148.7;4.7;0;;;;482.2;236.7;192.7;0;136.4;7.6
2138N0648661I;441.7;253.5;188.2;141.5;5;0;;;;498.8;258.5;188.2;0;129.4;7.2
2238N3118769N;142.4;141.7;0.6;200;9;191;82.9;2.7;0;380.5;153.5;191.6;0;69.7;10.5
2338N2564962H;176.4;86.9;89.4;109.8;0;0;;;;215.3;86.9;89.4;0;97.6;12.2
2238N2358040S;213.2;99.2;114;193.1;0;0;;;;363.3;99.2;114;0;156.3;36.8
2338N0336412V;484.7;159.3;153.7;;;;;;;363.7;159.3;153.7;0;153.7;18.1
2138N0141933U;1364.2;865;326.9;1364.2;865;326.9;;;;1364.2;865;326.9;0;125.3;47
2238N2641801P;;;;;;;;;;;;;;;
ZAC Blanche Monier 6 et 8 Rue Joseph François;;;;;;;;;;;;;;;
"Girot""";;;;;;;;;;;;;;;
2238N1959313B;;;;;;;;;;;;;;;
LUCIE PELLAT;;;;;;;;;;;;;;;
"210 RUE DES GENERAL DEGAULLE""";;;;;;;;;;;;;;;
2338N1375565G;551;401;100;;;;;;;551;401;100;0;38;0
2438N1446962I;263;161.4;101.6;113.6;16.3;0;;;;315.8;177.6;101.6;0;91.6;5.7
2138N0815219K;459;306;100;;;;;;;459;306;100;0;36;4
2338N2465850H;203.9;0;203.9;275.5;184.6;0.7;;;;459;184.6;204.6;0;84.2;6
2438N2198495L;510.3;332.3;178;194.2;0;0;;;;578.5;332.3;178;0;163.6;30.7
2238N3115211R;141.3;140.5;0.8;164.5;8.4;156.1;78.2;2.4;0;341.2;151.4;156.8;0;67.4;8.4
2138N1042700R;389.2;206.6;182.6;132.8;0;0;;;;436.3;206.6;182.6;0;118;14.8
2338N4105237Q;229.2;90;139.2;137.4;8.6;0;;;;283.3;98.6;139.2;0;95.2;33.6
2238N0978420K;73.2;0;73.2;185.3;65.7;0;;;;214.1;65.7;73.2;9.6;99;11
2238N1780867T;437;271;91;;;;;;;437;271;91;0;47;11
2138N0894419O;;;;;;;;;;;;;;;
"Avenue de la Muzelle""";;;;;;;;;;;;;;;
2338N2520816J;536;322;109;;;;;;;536;322;109;46;49;10
2338N3999652R;1058.9;790.6;268.3;412.4;0;0;;;;1202.4;790.6;268.3;0;350.5;61.9
2338N0858865E;468;316;89;;;;;;;468;316;89;0;39;2
2338N0768782L;315.6;138.5;177.2;117.2;3;4.4;;;;358.6;141.5;181.5;0;109.8;0
2338N4066349Y;467.8;218;249.8;59.8;12.7;1.1;;;;527.6;230.7;250.8;0;30.7;15.3
2438N0292069J;437;186;153;;;;;;;437;186;153;0;42;0
2138N0274193S;650;432;121;;;;;;;650;432;121;0;50;19
2338N2542425M;381;180.5;200.5;159.3;0;0;;;;437;180.5;200.5;0;150.9;8.4
2138N0911777E;183;183;0;434;249;128;;;;617;432;128;0;39;0
2338N1191296Z;633.1;260.4;221.1;633.1;260.4;221.1;;;;633.1;260.4;221.1;0;60.4;91.2
2238N2810036E;451.8;192.2;259.6;205.1;0;0;;;;522.6;192.2;259.6;0;167.8;37.3
2338N3852766F;258;118.9;139.1;197.9;0;0;;;;324.6;118.9;139.1;0;134.6;63.3
2338N0799089C;430.3;225.6;204.7;173.4;0;0;;;;490.8;225.6;204.7;0;147.4;26
2238N2358053F;5084;1892;3192;3750;197;0;;;;8834;2089;3192;0;1189;39
2438N0486260G;530;312;128;;;;;;;530;312;128;0;58;32
2238N2938542S;567.2;368;121.7;;;;;;;567.2;368;121.7;0;52.6;24.9
2238N0590600G;214.7;84.3;130.4;72.7;9.2;0;;;;247.3;93.5;130.4;0;59.3;4.2
2238N3118768M;144.3;143.7;0.6;202.7;9.1;193.6;84;2.8;0;385.6;155.5;194.2;0;70.6;10.6
2338N3115991S;350.7;226.3;124.3;208.7;0;0;;;;418.5;226.3;124.3;0;125.2;83.5
2438N1341856U;343.4;128.5;214.9;91;0;0;;;;377.1;128.5;214.9;0;85.3;5.7
2338N0884812D;508.4;320.7;187.7;219.8;0;0;;;;584.9;320.7;187.7;0;197.8;22
2338N3871532Z;255.6;159.1;96.5;360.2;125;1.2;;;;506.2;284.1;97.7;0;195;39
2238N2762541L;800;600;119;;;;;;;800;600;119;0;54;10
2338N3190338F;;;;;;;;;;;;;;;
"174 rue des Charbonnières""";;;;;;;1268398.7;;;;;;;;
2138N0458869Q;550.5;265.6;284.8;139.2;6;7.1;;;;626.4;271.7;291.9;0;126.1;0
2238N0580519N;293.3;152;141.4;92.7;0;0;;;;328.1;151.9;141.4;0;87.3;5.5
2238N2506956G;408.3;240.2;168;146.8;0;0;;;;471;240.2;168;0;139.1;7.7
2338N3771318P;467;207;181;;;;;;;467;207;181;0;51;10
2438N0161952W;440;277;96;;;;;;;440;277;96;0;43;10
2438N2154501J;270;98.3;171.7;189;0;0;;;;334.4;98.3;171.7;0;131.5;57.5
2338N3531332J;621;432;117;;;;;;;621;432;117;0;42;11
2238N1452690O;172.3;43.5;128.8;102.6;0;0;;;;288.1;43.5;128.8;0;96.9;5.7
2338N3958817C;153.4;90.7;62.7;67.8;0;0;;;;189;90.7;62.7;0;63.6;4.2
2238N2628466S;;;;;;;;;;;;;;;
"Rue de Nantes""";;;;;;;;;;;;;;;
2338N0780128V;598.8;420.4;108.3;;;;;;;598.8;420.4;108.3;0;51;19.1
2338N4050613S;580;394;186;226;131;4;;;;806;525;190;0;66;7
2238N1217488I;216.4;44.5;172;376.3;128.1;1;;;;592.7;172.5;172.9;85.2;88.2;73.9
2438N0753793Z;263.1;117.1;146;110.3;11;1.8;;;;315.2;128.1;147.8;0;92.1;5.4
2238N1313769L;517.3;216.4;300.9;195.6;0;0;;;;586.6;216.4;300.9;0;173.9;21.7
2338N4095012J;463.7;266.2;197.5;86;19.4;0.8;;;;549.7;285.6;198.3;0;42.2;23.7
2238N2352949X;349.1;189.4;93.6;;;;;;;349.1;189.4;93.6;0;41.1;25.1
2338N3714822R;552.9;381.4;171.5;153.9;0;0;;;;608.8;381.4;171.5;0;144.3;9.6
2338N0922202F;313.5;146.3;167.2;185.8;0;0;;;;379.1;146.3;167.2;0;121.2;64.6
2138N0753162P;568.6;272.1;296.5;199.2;3;2.5;;;;648;275.1;298.9;0;173.3;20.4
2238N3043639X;612;418;108;;;;;;;612;418;108;0;49;22
2338N1136575I;534;349;103;;;;;;;534;349;103;0;48;0
2338N0992070L;643.7;469.9;173.8;118.4;45;2.5;;;;762.1;514.9;176.3;0;44;27
2438N1223900A;406.9;182.6;224.3;179.4;0;0;;;;470.8;182.6;224.3;0;130.5;48.9
2438N1112098Y;274.2;107.4;166.8;142.4;0;0;;;;324.1;107.4;166.8;0;100.8;41.5
2238N1526468E;230.9;79;152;114.5;0;0;;;;278;79;152;0;71.5;42.9
2238N1217270Y;230.4;55.3;175;400.6;153.2;0.9;;;;631;208.5;176;84.9;88;73.7
2238N1644218A;426.5;265.7;102.7;;;;;;;426.5;265.7;102.7;0;38;20.1
2238N2470503F;368.2;111.2;221.4;368.2;111.2;221.4;;;;368.2;111.2;221.4;0;26.7;8.9
2238N0901074O;188.7;92.8;95.9;79.1;0;0;;;;218.5;92.8;95.9;0;59.3;19.8
2238N0147112A;699;259.6;203.5;;;;;;;545.7;259.6;203.6;0;179.7;56.2
2338N4082346F;283.4;46.5;81.3;;;;;;;168.9;46.5;81.3;0;83.4;72.3
2338N4152842P;593;381.7;211.2;232.8;9.2;0;;;;681.4;390.9;211.2;0;223.6;0
2338N0513917Y;;;;;;;;;;;;;;;
"2 Rue du Muret""";;;;;;;;;;;;;;;
2438N0211249X;189.9;49.9;140;174.6;0;0;;;;324;49.9;140;0;141.4;33.3
2462N1607948A;498;347;100;;;;;;;498;347;100;0;33;0
2238N2563756W;835;639;122;;;;;;;835;639;122;0;47;9
2238N2552487L;;;;;;;;;;;;;;;
"Rue de Nantes""";;;;;;;;;;;;;;;
2238N2730017N;481.6;318.2;163.4;158.1;5.5;2.7;;;;545.3;323.6;166.1;0;150;0
2338N3546865U;300.3;129.3;171;158.8;0;0;;;;353.3;129.3;171;0;134.9;23.8
2438N2154506O;359.4;171.8;187.6;238.4;0;0;;;;440.6;171.8;187.6;0;165.8;72.6
2238N2666773B;672;461;123;;;;;;;672;461;123;0;61;8
2338N1898261Y;451.9;271;132.7;;;;;;;451.9;271;132.7;0;32.2;16.1
2338N4082388V;574.1;94.1;164.7;;;;;;;342.2;94.1;164.7;0;168.9;146.4
2469N0478243C;7551.5;4797.5;2243.7;;;;;;;7551.5;4797.5;2243.7;0;413.6;96.7
2438N1444744A;973.2;319.3;568.1;973.2;319.3;568.1;;;;973.2;319.3;568.1;0;40.9;45
2338N2392107A;;;;;;;;;;;;;;;
"13 rue Charles Piot""";;;;;;;;;;;;;;;
2338N0952142T;233;119.3;113.8;203.8;0;0;;;;295.5;119.3;113.8;0;132.9;70.9
2338N2465812V;181.9;0;181.9;137.7;67.2;0.6;;;;303.8;67.3;182.5;0;65.2;4.7
2438N1969752Q;336.6;138;161.3;336.6;138;161.3;;;;336.6;138;161.3;0;22.1;15.2
2338N3115975C;301.6;176.1;125.5;214.2;0;0;;;;371.2;176.1;125.5;0;128.5;85.7
2438N1062349N;492.7;318.5;107;;;;;;;492.7;318.5;107;0;42.3;24.9
2438N2065544Y;635.4;373.2;184.6;635.4;373.2;184.6;;;;635.4;373.2;184.6;0;48.8;28.7
2138N0893887C;;;;;;;;;;;;;;;
"Avenue de la Muzelle""";;;;;;;;;;;;;;;
2238N3027131Z;508;326;114;;;;;;;508;326;114;0;38;10
2238N2852629J;420.6;240.6;180;152.4;0;0;;;;475.2;240.6;180;0;152.4;0
2138N0346835Q;328.5;113.6;214.9;130.4;0;4.7;;;;388.5;113.6;219.6;0;94.3;31.4
2138N0142481W;1195.5;693.5;333.3;1195.5;693.5;333.3;;;;1195.5;693.5;333.3;0;112.5;56.3
2338N0856149S;344.1;228;116.1;164.2;29.7;36.8;;;;455.9;257.8;152.9;0;97.6;0
2438N2096476Q;426.9;187.6;174.8;426.9;187.6;174.8;;;;426.9;187.6;174.8;0;36.9;27.7
2238N2037922M;670.2;339;331.3;834.2;398.3;3.7;;;;1189.1;737.3;334.9;0;266;166.3
2138N0144672D;507;299;132.6;;;;;;;507;299;132.6;0;44.2;31.2
2238N0901028U;139.2;68.9;70.3;57.6;0;0;;;;162.6;68.9;70.3;0;43.2;14.4
2238N0688159N;421;253;102;;;;;;;421;253;102;0;44;5
2254N3067553H;1808;1301;507;269;19;9;;;;2077;1320;516;0;167;9
2338N4368989Y;169.5;0;169.5;109.4;3.6;0;;;;211.4;3.6;169.4;0;105.7;0
2438N0261101H;516.2;271.6;244.6;119.4;0;0;;;;559;271.6;244.6;0;119.4;0
2238N1694555B;107.2;40.5;66.6;110.8;0;0;;;;142.2;40.5;66.6;0;89.7;21.1
2338N2651699I;631;455;104;;;;;;;631;455;104;0;55;3
2238N2283785T;;;;;;;;;;;;;;;
"Le Bourg""";;;;;;;1256445.9;;;;;;;;
2438N0211141T;197.2;53.4;143.8;188.5;0;0;;;;341.9;53.4;143.8;0;152.6;35.9
2238N3113720I;196.5;195.8;0.7;219.6;12.6;207;99.9;0;0;458.7;208.4;207.7;0;82.3;17.6
2338N3115940T;230.3;118.9;111.3;153;0;0;;;;280;118.9;111.3;0;91.8;61.2
2438N1111844E;245.8;87.3;158.6;128.7;0;0;;;;290.9;87.3;158.6;0;91.1;37.5
2238N3079764I;282.7;103;179.8;166.9;0;0;;;;341.3;102.9;179.8;0;90.4;76.5
2138N0660096D;315.6;116.7;198.9;244;10.6;0;;;;418.1;127.3;198.9;0;150.1;83.4
2238N1694598S;153.6;74.4;79.2;169.7;0;0;;;;207.3;74.4;79.2;0;137.4;32.3
2438N1111877L;353.2;161.9;191.3;204.7;0;0;;;;425;161.9;191.3;0;145;59.7
2238N0714918S;627;415;212;102;6;3;;;;729;421;215;0;57;15
2338N2339251C;413.9;126.6;287.3;154.8;0;0;;;;467.3;126.6;287.3;0;137.6;17.2
2338N4066334J;415.6;217.4;198.3;79.9;14.3;0.8;;;;495.5;231.6;199.1;0;43.2;21.6
2238N1028640Y;363.5;189.1;174.4;251.9;0;0;;;;448.7;189.1;174.4;0;167.9;84
2138N0141879S;1357.6;813.7;346.2;1357.6;813.7;346.2;;;;1357.6;813.7;346.2;0;146.1;51.6
2238N1741754K;462;289;98;;;;;;;462;289;98;0;41;11
2438N1129536Q;451;244;116;;;;;;;451;244;116;21;52;0
2138N0773574R;;;;;;;;;;;;;;;
"Rue Gay""";;;;;;;;;;;;;;;
2238N1100253H;492.1;308.3;110.3;;;;;;;492.1;308.3;110.3;0;50.9;22.6
2238N3118693P;104.2;103.8;0.5;146.4;6.6;139.9;60.7;2;0;278.6;112.4;140.3;0;51;7.7
2338N1847377W;293.4;102.7;190.7;158.2;0;0;;;;346.5;102.7;190.7;0;133.2;25
2238N3166474I;605;437;103;;;;;;;605;437;103;0;43;3
2238N1599587L;;;;;;;;;;;;;;;
"Opération Coeur de Village""";;;;;;;1017215;;;;;;;;
2338N3169756P;624;206.2;168.2;;;;;;;454.5;206.2;168.2;0;190.2;59.4
2238N3053845L;;;;;;;;;;;;;;;
"ZAC St Hubert""";;;;;;;;;;;;;;;
2138N0666284D;731;551;113;;;;;;;731;551;113;0;44;6
2238N2735692U;381;207;102;;;;;;;381;207;102;0;51;6
2338N0886026V;304.4;146.9;157.5;124.5;0;0;;;;346.5;146.9;157.5;0;110.7;13.8
2338N1681344Z;;;;;;;;;;;;;;;
Bâtiment D;;;;;;;;;;;;;;;
" 67 avenue de Claix""";;;;;;;;;;;;;;;
2438N1370130G;397.4;81.9;135.9;;;;;;;408;81.9;135.9;0;152.7;27
2238N0650651X;174.9;174.9;0;373;103.3;0;;;;372;278.1;0;0;194.2;75.5
2438N1029540Q;548.3;354;114.5;;;;;;;548.3;354;114.5;0;55.5;24.3
2238N0131431X;380.9;197.8;183.1;181.3;0;0;;;;442.7;197.8;183.1;0;154.1;27.2
2238N3118804W;184.4;183.4;1;215.5;11.1;204.4;103.3;3.2;0;448.3;197.8;205.4;0;83.4;16.7
2238N0757091T;297.7;148.1;149.6;315.9;87.5;0;;;;464.7;235.6;149.6;0;164.5;64
2438N0229056U;3565;2536;1029;676;39;19;;;;4241;2575;1048;0;348;212
2238N2730810A;280.1;99;181.1;169.4;0;0;;;;339.5;99;181.1;0;91.8;77.6
2238N2279592M;;;;;;;;;;;;;;;
"Le Bourg""";;;;;;;1368883.8;;;;;;;;
2238N1413382S;824.6;616.7;114.7;;;;;;;824.6;616.7;114.7;0;64.5;28.7
2238N2809882G;226.3;112;114.4;101.7;0;0;;;;263.2;112;114.3;0;95.3;6.4
2238N0439025L;270.3;133.8;136.5;159;0;0;;;;326.7;133.8;136.5;0;141.3;17.7
2138N0314757W;940.6;400.9;437.1;940.6;400.9;437.1;;;;940.6;400.9;437.1;0;61.6;41.1
2238N1456986U;424.1;258.9;165.2;138.1;0;0;;;;498.8;258.9;165.2;0;138.1;0
2238N2742037V;661.6;473.8;101.7;;;;;;;661.6;473.8;101.7;0;51.4;34.7
2138N0773420T;260.8;95.7;165.1;139.7;0;0;;;;309.1;95.7;165.1;0;99.8;39.9
2238N0464728A;553;394;98;;;;;;;553;394;98;0;39;7
2238N0565577V;;;;;;;;;;;;;;;
"Rue Auguste Delaune""";;;;;;;1432092.1;;;;;;;;
2238N0590611R;598.3;382;216.3;253.6;41.7;0;;;;717.9;423.6;216.4;0;197.8;14.1
2338N0336504J;675;414;167;;;;;;;675;414;167;0;63;31
2338N1132496L;465.4;305.9;159.6;158.9;0;0;;;;525.1;305.9;159.6;0;149.5;9.3
2438N4084616O;619;306;177;;;;;;;619;306;177;7;66;63
2138N0908225O;720;511;132;;;;;;;720;511;132;0;50;6
2438N2263062U;447.7;219.1;181.2;447.7;219.1;181.2;;;;447.7;219.1;181.2;0;38.4;9
2338N1365136D;493.7;303.8;116.8;;;;;;;493.7;303.8;116.8;0;46.7;26.3
2138N0565867Y;581.7;340.5;176.5;581.7;340.5;176.5;;;;581.7;340.5;176.5;0;44;20.7
2338N4082293E;506.2;83;145.2;;;;;;;301.7;83;145.2;0;148.9;129.1
2238N2552514M;;;;;;;;;;;;;;;
"Rue de Nantes""";;;;;;;;;;;;;;;
2238N0423285B;220.1;108.2;111.9;112;0;0;;;;260.8;108.2;111.9;0;95.2;16.8
2238N2729962K;438.1;288.8;149.4;141.7;0;0;;;;490.1;288.8;149.4;0;141.7;0
2238N1217189V;224.9;48.6;176.3;391.1;136.5;1;;;;616;185.1;177.2;87.4;90.5;75.8
2138N0756023Q;494.8;226.5;212.2;494.8;226.5;212.2;;;;494.8;226.5;212.2;0;31.2;25
2138N0660097E;308.7;108.8;199.9;246.5;9.8;0;;;;411.7;118.6;199.9;0;152.1;84.5
2238N1008268K;356.1;189.7;166.4;96.5;7.6;0;;;;397.5;197.3;166.4;0;89;0
2338N2133833K;414.3;236.1;178.3;251.6;66.6;0;;;;545.4;302.7;178.3;0;157.2;27.7
2338N0222799C;683;350;233;;;;;;;683;350;233;0;45;31
2338N0790951C;222.2;0;222.2;265.6;153.1;0;;;;415.2;153.1;222.2;0;87.5;25
2238N0580664C;488.8;328.4;160.4;135.5;0;0;;;;540.4;328.4;160.4;0;127;8.5
2238N0580554W;327.4;188.5;138.9;89.5;0;0;;;;361;188.5;138.9;0;84.2;5.3
2238N0526155P;9215;4759;4456;1524;113;113;;;;10739;4872;4569;0;1016;0
2438N2740259N;122.5;122.5;0;507.6;263.2;180.7;;;;630.2;385.7;180.7;0;28.5;35.2
2338N3073293M;380.1;207.3;172.8;126.6;4.7;4.1;;;;432.6;212;176.9;0;111.2;6.5
2338N0856108D;380.2;257.3;122.9;184.8;33.6;38.9;;;;504.8;290.9;161.8;0;112.3;0
2238N2628476C;;;;;;;;;;;;;;;
"Rue de Nantes""";;;;;;;;;;;;;;;
2238N3118723T;145.9;145.3;0.6;205;9.2;195.8;85;2.8;0;390;157.3;196.4;0;71.4;10.7
2138N0306945K;;;;;;;;;;;;;;;
"10 Boulevard des Frères Desaire""";;;;;;;;;;;;;;;
2238N1584157Z;486;295;116;;;;;;;486;295;116;0;50;6
2138N0197277K;;;;;;;;;;;;;;;
"Les Contamines - Quartier de Môles - BATIMENT B""";;;;;;;;;;;;;;;
2238N1314567D;576.4;256.4;320;190.4;0;0;;;;643.9;256.4;320;0;169.2;21.2
2338N2564529Q;514.4;288.3;226.1;214.7;0;0;;;;589.8;288.4;226.1;0;203.4;11.3
2338N3618157U;;;;;;;;;;;;;;;
"Lotissement les Folatières""";;;;;;;;;;;;;;;
2238N1526542A;376.3;154.5;221.8;286.4;0;0;;;;494;154.5;221.8;0;179;107.4
2338N3578032N;598.3;398.7;199.6;272.3;9.1;2.9;;;;700.1;407.7;202.5;0;210.7;49.6
2138N0123002R;642;555;87;258;17;76;;;;900;572;163;0;72;55
2238N0166635X;777;573;114;;;;;;;777;573;114;0;70;4
2138N0858594R;564.1;157.6;313;;;;;;;509;157.6;313;0;88;5.5
2238N0164783R;169.5;51.5;117.9;152.5;0;0;;;;234;51.5;117.9;0;152.5;0
2138N0582932H;3938;2032;1906;930;59;51;;;;4868;2091;1957;0;416;0
2238N2898731N;647.7;318.3;253.8;647.7;318.3;253.8;;;;647.7;318.3;253.8;0;53.6;22.1
2238N0449430Q;300.2;111.4;188.8;121.5;0;0;;;;342.9;111.4;188.8;0;108.7;12.8
2338N3202333O;358.9;173.1;185.8;302.6;43.5;0;;;;488.5;216.6;185.8;0;212;47.1
2238N2369480S;500;335;100;;;;;;;500;335;100;0;55;10
2238N0978483V;74.2;0;74.2;187.8;66.6;0;;;;217;66.6;74.2;9.7;100.4;11.2
2238N0539322A;406.4;254.6;151.8;102.1;0;0;;;;449;254.6;151.8;0;95.7;6.4
2238N3118621V;165.6;164.7;0.9;210;10;200;98;2.8;0;419.1;177.6;200.9;0;85.1;10
2338N3513710P;416.2;239.8;176.4;74.7;6.9;5;;;;490.9;246.6;181.4;0;40.8;22.1
2138N0782154R;312.8;155.1;157.7;121.6;22.6;0;;;;373.2;177.7;157.7;0;98.9;0
2238N1217374Y;208.9;37.8;171.1;363.2;111.4;1;;;;572.1;149.1;172.1;86.4;89.5;74.9
2338N2192280J;422.9;237.2;185.8;121;0;0;;;;490.8;237.2;185.8;0;121;0
2338N3871536D;236;141.9;94.1;333.8;111.5;1.2;;;;466.3;253.4;95.3;0;184.3;36.9
2238N0377943D;307.9;129.2;178.7;330.2;0;0;;;;401.9;129.2;178.7;0;220.1;110.1
