numero_dpe;cout_total_5_usages_energie_n1;cout_chauffage_energie_n1;cout_ecs_energie_n1;cout_total_5_usages_energie_n2;cout_chauffage_energie_n2;cout_ecs_energie_n2;cout_total_5_usages energie_n3;cout_chauffage_energie_n3;cout_ecs_energie_n3;cout_total_5_usages;cout_chauffage;cout_ecs;cout_refroidissement;cout_eclairage;cout_auxiliaires
"Le Bourg""";;;;;;;1345248.2;;;;;;;;
2338N3115961O;387.9;262.4;125.5;214;0;0;;;;457.4;262.4;125.5;0;128.4;85.6
2238N2552460K;;;;;;;;;;;;;;;
"Rue de Nantes""";;;;;;;;;;;;;;;
2338N3871285M;184.7;101.3;83.3;244.7;79.6;1;;;;352.6;181;84.4;0;136.7;27.3
2238N0152614Q;641.3;441.6;107.5;;;;;;;641.3;441.6;107.5;0;53.8;38.4
2338N2559860B;316.6;131.3;185.3;126.2;0;0;;;;360.9;131.3;185.3;0;119.5;6.6
2338N1744824N;540;358;129;;;;;;;540;358;129;0;39;0
2138N0773388N;310.9;133.1;177.9;172.9;0;0;;;;373.1;133.1;177.9;0;123.5;49.4
2138N0701932F;502.5;311.8;190.8;145;0;0;;;;557;311.8;190.8;0;145;0
2338N2522389W;667.9;352.8;110.6;117.1;117.1;0;;;;652.5;469.9;110.6;0;204.5;0
2338N2088057U;465.3;154.9;310.5;204.6;0;2.6;;;;542.8;154.9;313.1;0;168.3;33.7
2438N0083911H;476;227;157;;;;;;;476;227;157;0;49;16
2238N1253797V;518.4;355.9;162.4;166;29.4;2.4;;;;606.1;385.3;164.9;0;125.8;8.4
2438N0898981D;622;414;142;;;;;;;622;414;142;0;41;0
2438N1228705V;422.2;220.4;201.8;180.5;5.7;8.1;;;;500.5;226.1;209.9;0;157.4;9.3
2138N0420988R;516.8;264.5;252.3;195.8;6.2;6;;;;611;270.7;258.3;0;141.8;41.7
2338N0552580Z;;;;;;;;;;;;;;;
"Lotissement le Clos de la Vigne""";;;;;;;;;;;;;;;
2138N0141529G;1365.9;866.8;326.7;1365.9;866.8;326.7;;;;1365.9;866.8;326.7;0;125.3;47
2138N0705640V;492;238;181;;;;;;;492;238;181;0;46;8
2238N0772489Z;482.8;482.8;0;235.2;0;0;;;;573.7;482.8;0;0;222.1;13.1
