numero_dpe;adresse_ban;numero_voie_ban;nom_rue_ban;nom_commune_ban;code_postal_ban;code_insee_ban;code_departement_ban;code_region_ban;identifiant_ban;coordonnee_cartographique_x_ban;coordonnee_cartographique_y_ban;statut_geocodage;adresse_brut;nom_commune_brut;code_postal_brut
2138N0609216F;Rue Neuve 38200 Villette-de-Vienne;;Rue Neuve;Villette-de-Vienne;38200;38558;38;84;38558_0043;848907.51;6500563.18;adresse non géocodée ban car aucune correspondance trouvée;23 rue Feuillant;VILLETTE-DE-VIENNE;38200
2338N4082344D;Rue Aimé Requet 38000 Grenoble;;Rue Aimé Requet;Grenoble;38000;38185;38;84;38185_0167;912367.49;6459540.37;adresse non géocodée ban car aucune correspondance trouvée;rue René Maus / rue Aimé Requet;Grenoble;38000
2138N0753248X;Avenue de la République 38130 Echirolles;113a;Avenue de la république;Echirolles;38130;38151;38;84;38151_0550;914534.89;6452947.44;adresse géocodée ban à l'adresse;113a Avenue de la république;Echirolles;38130
2338N2560444N;16 Rue de la République 38360 Sassenage;16;Rue de la République;Sassenage;38360;38474;38;84;38474_0160_00016;908746.14;6459887.91;adresse non géocodée ban car aucune correspondance trouvée;16 rue de la République;SASSENAGE;38360
2338N4105246Z;143 Route de Grenoble 38420 Le Versoud;143;Route de Grenoble;Le Versoud;38420;38538;38;84;38538_0240_00143;924238.96;6461012.29;adresse non géocodée ban car aucune correspondance trouvée;143 Route de Grenoble;LE VERSOUD;38420
2338N1982115C;Chemin des Sétérées du Dessous 38240 Meylan;;Chemin des Sétérées du Dessous;Meylan;38240;38229;38;84;38229_0731;918438.53;6460445.65;adresse non géocodée ban car aucune correspondance trouvée;Sétérées du dessous;MEYLAN;38240
2438N1482710G;Rue des Amours 38140 Rives;;Rue des Amours;Rives;38140;38337;38;84;38337_0070;896371.94;6475474.71;adresse non géocodée ban car aucune correspondance trouvée;Rue des Amours;RIVES;38140
2238N2852636Q;9 Rue Champ Nigat 38760 Varces-Allières-et-Risset;9;Rue Champ Nigat;Varces-Allières-et-Risset;38760;38524;38;84;38524_axz2sp_00009;910308.12;6447430.45;adresse non géocodée ban car aucune correspondance trouvée;9 rue du champ Nigat;VARCES-ALLIERES-ET-RISSET;38760
2438N2352394Q;Rue de la Riviere 38230 Tignieu-Jameyzieu;;Rue de la Riviere;Tignieu-Jameyzieu;38230;38507;38;84;38507_2170;869813.09;6517806;adresse non géocodée ban car aucune correspondance trouvée;RUE DE LA RIVIERE - LIEU DIT GRAND CHATENAY;TIGNIEU JAMEYZIEU;38230
2238N2596635L;Allée de la Batie 38330 Saint-Ismier;;;Saint-Ismier;38330;38397;38;84;38397_0026;923680.45;6463956.29;adresse géocodée ban à l'adresse;GROUPE 20015;;
ALLEE DE LA BATIE;;;;;;;;;;;;;;;
"EMBELLIE ALPES""";;3721.8;75;1320.5;1994.4;0;247;159.8;3482.2;70;1320.5;0;107.4;69.5;761
2238N0408349P;Rue des Sources 38920 Crolles;;Rue des Sources;Crolles;38920;38140;38;84;38140_0604;926645.59;6467892.86;adresse géocodée ban à l'adresse;Rue des Sources;Crolles;38920
2438N2152642W;Avenue du Granier 38240 Meylan;;Avenue du Granier;Meylan;38240;38229;38;84;38229_0383;918597.45;6460610.5;adresse non géocodée ban car aucune correspondance trouvée;AVENUE DU GRANIER;MEYLAN;38240
2338N2306975S;Route du Tram 38110 La Bâtie-Montgascon;;Route du Tram;La Bâtie-Montgascon;38110;38029;38;84;38029_0890;897347.64;6501003.97;adresse non géocodée ban car aucune correspondance trouvée;Route du Vieux Four;LA BATIE-MONTGASCON;38110
2238N0760153N;Rue des Ecoles 38500 La Buisse;;;La Buisse;38500;38061;38;84;38061_0040;905008.51;6473826.84;adresse géocodée ban à l'adresse;SCCV LA BUISSE ECOLES;;
"RUE DES ECOLES""";;3906.5;69;1683;1858;0;270.1;95.3;3661.3;64;1665;0;117.4;41.5;801.2
2138N0773721I;Rue Gay 38400 Saint-Martin-d'Hères;;Rue Gay;Saint-Martin-d'Hères;38400;38421;38;84;38421_0340;915949.74;6457478.21;adresse non géocodée ban car aucune correspondance trouvée;L'EQUALIS;;
"Rue Gay""";;4551.7;62;2371.8;1625.3;0;329.3;225.3;4227;58;2364.2;0;143.2;98;919.6
2238N2852653H;9 Rue Champ Nigat 38760 Varces-Allières-et-Risset;9;Rue Champ Nigat;Varces-Allières-et-Risset;38760;38524;38;84;38524_axz2sp_00009;910308.12;6447430.45;adresse non géocodée ban car aucune correspondance trouvée;9 rue du champ Nigat;VARCES-ALLIERES-ET-RISSET;38760
2238N1086583N;Route des 7 Laux 38190 Les Adrets;;;Les Adrets;38190;38002;38;84;38002_0016;932602.22;6467794.84;adresse géocodée ban à l'adresse;LES GRANGES DES 7 LAUX;;
ZAC DES 7 LAUX;;;;;;;;;;;;;;;
"SITE DE PRAPOUTEL""";;8443.6;101;5610.5;2078.4;0;327;427.6;8017;96;5610.5;0;142.2;185.9;1767.1
2338N1420003K;Rue Commandant Lenoir 38130 Échirolles;;Rue Commandant Lenoir;Échirolles;38130;38151;38;84;38151_0078;912417.5;6453221.62;adresse non géocodée ban car aucune correspondance trouvée;Lotissement ''Le Clos de la Commanderie'';;
Lot 5;;;;;;;;;;;;;;;
"68""";;4348.4;54.8;2599;1550.2;0;350;100;1890.6;23.9;1130;0;152.2;43.5;139.2
2338N4152828B;route de lyon 38120 Saint-Égrève;;route de lyon;Saint-Égrève;38120;38382;38;84;38382_0340;909586.63;6463769.12;adresse non géocodée ban car aucune correspondance trouvée;Route de Lyon;Saint Egrève;38120
2238N2283783R;Rue Emile Romanet 38370 Saint-Clair-du-Rhône;;;Saint-Clair-du-Rhône;38370;38378;38;84;38378_0310;838449.41;6483791.27;adresse géocodée ban à l'adresse;Clair Romanet B;;
"Le Bourg""";;2356.7;51;870.3;1205.8;0;229.6;51;2168.2;47;849.7;0;99.8;22.2;469.3
2238N1463324O;11 Allee du Docteur Pierre Berthier 38300 Bourgoin-Jallieu;11;Allee du Docteur Pierre Berthier;Bourgoin-Jallieu;38300;38053;38;84;38053_0061_00011;877742.44;6501316.03;adresse non géocodée ban car aucune correspondance trouvée;11 DU DOCTEUR PIERRE BERTHIER;BOURGOIN-JALLIEU;38300
2238N0519725H;Rue Capitaine Lanvin-Lespiau 38000 Grenoble;;Rue Capitaine Lanvin-Lespiau;Grenoble;38000;38185;38;84;38185_1263;912432.75;6459582.39;adresse non géocodée ban car aucune correspondance trouvée;Rue Capitaine Lanvin-Lespiau;Grenoble;38000
2238N3118729Z;Rue 93 Ème Ram 38750 Huez;;Rue 93 Ème Ram;Huez;38750;38191;38;84;38191_0430;941407.24;6447891.97;adresse non géocodée ban car aucune correspondance trouvée;Rue du 93ème Ram ALPE D'HUEZ;L ALPE D HUEZ;38750
2238N2954774A;Lotissement les Frecheres 38480 Romagnieu;;Lotissement les Frecheres;Romagnieu;38480;38343;38;84;38343_8eoelm;906390.59;6499859.64;adresse non géocodée ban car aucune correspondance trouvée;Lotissement '' Les Freichères '';ROMAGNIEU;38480
2138N0692265K;Rue des Alpes 38420 Domène;;Rue des Alpes;Domène;38420;38150;38;84;38150_0040;922162.55;6459477.99;adresse non géocodée ban car aucune correspondance trouvée;RUE DES ALPES;DOMENE;38420
2438N2217801Z;Rue des Amours 38140 Rives;;Rue des Amours;Rives;38140;38337;38;84;38337_0070;896371.94;6475474.71;adresse non géocodée ban car aucune correspondance trouvée;Rue des Amours;RIVES;38140
2338N2415232L;Rue Voltaire 38400 Saint-Martin-d'Hères;;Rue Voltaire;Saint-Martin-d'Hères;38400;38421;38;84;38421_1032;916330.97;6456408.67;adresse non géocodée ban car aucune correspondance trouvée;LA PLAINE VOLTAIRE;SAINT-MARTIN-D'HERES;38400
2238N1912907F;Rue des Glières 38760 Varces-Allières-et-Risset;;Rue des Glières;Varces-Allières-et-Risset;38760;38524;38;84;38524_0060;910653.14;6446724.61;adresse non géocodée ban car aucune correspondance trouvée;ZAC des Coins - La Giraudières;VARCES-ALLIERES-ET-RISSET;38760
