numero_dpe;besoin_chauffage;besoin_ecs;besoin_refroidissement;besoin_ecs_batiment;besoin_ecs_logement
2138N0892604T;;;;;
2338N2133807K;;;;;
2438N1735137Z;;;;2091792.4;1013627.5
2238N1426561P;;;;;
2438N1954118I;;;;;
2338N0342589K;;;;;
2138N0753125E;;;;;
2238N2026289B;;;;;
2238N2283654S;;;;;
"Le Bourg""";;;;;
2238N0402740W;;;;;
2338N2372501Y;;;;;
2238N2493634W;;;;;
2338N1132491G;;;;;
2438N0359616I;;;;;
2238N2641836Y;;;;;
ZAC Blanche Monier 6 et 8 Rue Joseph François;;;;;
"Girot""";;;;;
2138N0565481C;;;;;
2238N0374739X;;;;;
2338N0799077Q;;;;;
2438N1299098G;;;;;
2138N0963830F;;;;;
2238N1368387D;;;;;
2338N2370241A;;;;;
2238N2628540O;;;;;
"Rue de Nantes""";;;;;
2238N0402650K;;;;;
2238N1635033T;;;;;
2338N1706680L;;;;;
2238N3112106G;;;;;
2238N0174578K;;;;;
2438N1893663D;;;;;
"LES VILLAS CELESTES""";;;;;
2438N1156720E;;;;;
2338N2465728P;;;;;
2338N0884847M;;;;;
2138N0701929C;;;;;
2138N0575080H;;;;;
2138N1042716H;;;;;
2138N0983030R;;;;;
2238N3020907P;;;;;
ILOT SUD;;;;;
LE GRAND PRE;;;;;
"ALLEE CHANTOURNES""";;;;;
2238N0996102M;;;;;
2238N1156343P;;;;;
Batiment C;;;;;
"Rue du Thévenet""";;;;;
2238N2761845R;;;;;
2238N2265274U;;;;;
2138N0564374N;;;;;
"10 rue du Garat""";;;;;
2238N0533649V;;;;;
2438N2065557L;;;;46884897.9;1323368.4
2438N0475923R;;;;;
2238N0779223Z;;;;;
2338N2189966J;;;;;
2238N3112064Q;;;;;
2438N1088753B;;;;;
2338N1844176T;;;;;
2238N2849553B;;;;;
2238N0526160U;;;;;
2238N1217491L;;;;;
2338N3901995Q;;;;;
2338N1744835Y;;;;;
2238N0565580Y;;;;;
"Rue Auguste Delaune""";;;;;
2138N0948090V;;;;;
"Lieu dit Boussole""";;;;;
2438N1370080I;;;;;
2138N0575014T;;;;;
2238N2640321R;;;;;
2238N0900860I;;;;;
2238N0415779J;;;;;
2238N0321003D;;;;;
2338N0768766V;;;;;
2238N2852645Z;;;;;
2238N0481235X;;;;;
2238N1540412M;;;;;
2138N0476448T;;;;;
2238N1449241X;;;;;
2138N0196660R;;;;;
"Les Contamines - Quartier de Môles - BATIMENT A""";;;;;
2338N2465775K;;;;;
2238N2313097D;;;;;
2438N0753746E;;;;;
2338N0729292P;;;;;
2338N3983159I;;;;;
2238N2649241T;;;;;
2238N1125519B;;;;;
2338N2452923C;;;;;
2238N2729979B;;;;;
2438N3182620K;;;;;
2138N0953377E;;;;;
2338N0875268B;;;;;
2338N3511647G;;;;;
2338N3468276D;;;;;
2438N2331240A;;;;;
2238N1312787R;;;;;
2338N1844189G;;;;;
2338N1706997Q;;;;;
2338N3190339G;;;;;
"174 rue des Charbonnières""";;;;;
2438N0211234I;;;;;
2338N4095161C;;;;;
2338N1706547I;;;;;
2338N2902081K;;;;;
2238N3070494U;;;;;
2238N0751307H;;;;;
2438N1606214K;;;;;
2238N1462614G;;;;;
2138N0892616F;;;;;
2338N3852761A;;;;;
2338N0799147I;;;;;
2238N0198171V;;;;;
2238N1155469Z;;;;;
2238N0070039R;;;;;
2238N0901092G;;;;;
2338N4147228R;;;;;
2438N1370067V;;;;;
2338N2578645O;;;;;
2295N3199115Y;;;;;
2438N0950702K;;;;;
2238N0978620C;;;;;
2438N2098295P;;;;10566014.1;1325394.3
2338N0728525C;;;;;
2438N0718993N;;;;;
2138N0095025Q;;;;;
2338N4066169A;;;;;
2138N0369452N;;;;;
2138N0424195A;;;;;
2238N0195862A;;;;;
2359N1765710Q;;;;;
2238N1411500I;;;;;
2238N0131418K;;;;;
2238N1462536G;;;;;
2238N2728336W;;;;;
2238N1526526K;;;;;
2338N0996279I;;;;;
2338N4535970H;;;;;
2438N2218832Q;;;;;
2438N1341865D;;;;;
2338N1666308R;;;;;
